Time_s,Signal
1.6819791666666666,110.77288779491404
1.6820833333333334,112.80715602732403
1.6821875,114.36582278155383
1.6822916666666667,115.44211688451709
1.6823958333333333,116.03130193015333
1.6825,116.13069708934201
1.6826041666666667,115.73968924446966
1.6827083333333333,114.85973639397108
1.6828125,113.49436230902877
1.6829166666666666,111.64914246156705
1.6830208333333334,109.33168127956307
1.683125,106.55158082236109
1.6832291666666668,103.32040100496252
1.6833333333333333,99.65161153602013
1.6834375,95.56053576933881
1.6835416666666667,91.06428670292797
1.6836458333333333,86.18169539291819
1.68375,80.93323208180725
1.6838541666666667,75.34092037139699
1.6839583333333332,69.4282448002989
1.6840625,63.220052213890305
1.6841666666666666,56.74244734098197
1.6842708333333334,50.022683016093836
1.684375,43.08904550902927
1.6844791666666667,35.97073544428807
1.6845833333333333,28.697744811678692
1.6846875,21.300730586198878
1.6847916666666667,13.81088548977975
1.6848958333333333,6.259806439770708
1.685,-1.3206387609742114
1.6851041666666666,-8.898445929903774
1.6852083333333334,-16.441609638696587
1.6853125,-23.918258404660474
1.6854166666666666,-31.29678936849448
1.6855208333333334,-38.54600188925308
1.685625,-45.63522949170876
1.6857291666666667,-52.53446960805211
1.6858333333333333,-59.214510564972706
1.6859375,-65.647055278592
1.6860416666666667,-71.80484113342123
1.6861458333333332,-77.66175553743903
1.68625,-83.19294666345668
1.6863541666666666,-88.37492890708883
1.6864583333333334,-93.18568261378914
1.6865625,-97.60474765145271
1.6866666666666668,-101.61331043092595
1.6867708333333333,-105.19428400429557
1.686875,-108.33238089993205
1.6869791666666667,-111.01417838381987
1.6870833333333333,-113.22817586858585
1.6871875,-114.96484422470695
1.6872916666666666,-116.21666678249646
1.6873958333333334,-116.97817184849373
1.6875,-117.24595659566529
1.6876041666666666,-117.01870222321716
1.6877083333333334,-116.29718031866244
1.6878125,-115.08425039193263
1.6879166666666667,-113.38484858860643
1.6880208333333333,-111.20596762659954
1.688125,-108.55662803775435
1.6882291666666667,-105.44784083253654
1.6883333333333332,-101.89256174232408
1.6884375,-97.90563722941796
1.6885416666666666,-93.50374248975365
1.6886458333333334,-88.70531170720791
1.68875,-83.5304608512284
1.6888541666666668,-78.00090334112616
1.6889583333333333,-72.13985893062977
1.6890625,-65.97195619507627
1.6891666666666667,-59.523129030784546
1.6892708333333333,-52.820507601608185
1.689375,-45.89230419128732
1.6894791666666666,-38.76769444191275
1.6895833333333334,-31.476694478487424
1.6896875,-24.050034437138716
1.6897916666666666,-16.51902892992102
1.6898958333333334,-8.915444992289462
1.69,-1.2713680701650312
1.6901041666666667,6.380933388000089
1.6902083333333333,14.009144162643109
1.6903125,21.581038742792384
1.6904166666666667,29.064617477582786
1.6905208333333333,36.42824182428957
1.690625,43.64076812118941
1.6907291666666666,50.67167931957772
1.6908333333333334,57.49121411768382
1.6909375,64.07049294999611
1.6910416666666668,70.38164029859232
1.6911458333333333,76.39790280841146
1.69125,82.09376270594097
1.6913541666666667,87.44504604044893
1.6914583333333333,92.42902528858853
1.6915625,97.02451588684607
1.6916666666666667,101.21196628179649
1.6917708333333332,104.9735411153662
1.691875,108.29319719116546
1.6919791666666666,111.15675189831936
1.6920833333333334,113.55194380097545
1.6921875,115.46848513465545
1.6922916666666667,116.89810598471576
1.6923958333333333,117.83458995724098
1.6925,118.27380118856682
1.6926041666666667,118.21370257616529
1.6927083333333333,117.65436515066952
1.6928125,116.59796854621334
1.6929166666666666,115.04879256385145
1.6930208333333334,113.01319986045442
1.693125,110.49960983297754
1.6932291666666666,107.51846380522342
1.6933333333333334,104.08218166100411
1.6934375,100.20511010379559
1.6935416666666667,95.90346275842016
1.6936458333333333,91.19525236483399
1.69375,86.10021534759841
1.6938541666666667,80.63972907692445
1.6939583333333332,74.83672216817277
1.6940625,68.71557819622517
1.6941666666666666,62.302033229101326
1.6942708333333334,55.62306761145155
1.694375,48.70679245300444
1.6944791666666668,41.58233129958225
1.6945833333333333,34.27969748482093
1.6946875,26.829667679158533
1.6947916666666667,19.263652168906965
1.6948958333333333,11.613562412227399
1.695,3.9116764305303624
1.6951041666666666,-3.809497396833592
1.6952083333333334,-11.517357559778132
1.6953125,-19.17934708724237
1.6954166666666666,-26.76309107809504
1.6955208333333334,-34.23653351214556
1.695625,-41.56807276306101
1.6957291666666667,-48.726695240264704
1.6958333333333333,-55.68210659459321
1.6959375,-62.4048599325793
1.6960416666666667,-68.86648049666852
1.6961458333333332,-75.03958628341431
1.69625,-80.89800408867015
1.6963541666666666,-86.41688048793463
1.6964583333333334,-91.57278728122915
1.6965625,-96.34382095510566
1.6966666666666668,-100.70969573949998
1.6967708333333333,-104.65182986405601
1.696875,-108.15342464713618
1.6969791666666667,-111.19953608088413
1.6970833333333333,-113.77713860728727
1.6971875,-115.87518081307101
1.6972916666666666,-117.48463280529947
1.6973958333333334,-118.59852506462062
1.6975,-119.21197860902564
1.6976041666666666,-119.32222633764424
1.6977083333333334,-118.92862546131298
1.6978125,-118.03266096427507
1.6979166666666667,-116.63794007924261
1.6980208333333333,-114.7501777960098
1.698125,-112.37717346169379
1.6982291666666667,-109.52877856833342
1.6983333333333333,-106.21685586084173
1.6984375,-102.4552299350207
1.6985416666666666,-98.25962953135891
1.6986458333333334,-93.64762176548548
1.69875,-88.63853857030315
1.6988541666666668,-83.25339565782105
1.6989583333333333,-77.51480434041656
1.6990625,-71.44687658154015
1.6991666666666667,-65.07512367460743
1.6992708333333333,-58.426348975881396
1.699375,-51.52853514241242
1.6994791666666667,-44.410726349476406
1.6995833333333332,-37.102905983323026
