impactN,tStart,tFin1,tFin2
1,2.5,5.2,7.0
2,12.9,16.2,16.0
3,21.9,24.6,32.0
4,33.3,37.1,40.0
5,45.2,52.9,54.2
6,59.0,63.0,67.2
7,68.4,71.9,73.3
8,87.7,89.7,93.5
9,99.6,104.9,109.4
10,113.5,116.2,121.6
11,127.4,129.7,139.1
12,146.3,148.7,150.3
