impactN,tStart,tFin1,tFin2
1,9.5,12.9,24.4
2,17.6,23.6,36.9
3,27.7,31.6,47.3
8,85.3,90.7,95.5
9,97.9,101.1,103.1
10,107.0,113.5,111.7
11,120.2,125.7,125.7
12,132.7,136.3,136.3
