F or ch 1,F or ch 2,decr1,decr2,decrS
0044-03.12.25-МС0012509-1_chN0,0044-03.12.25-МС0012509-1_chN1,0.4575750557757085,1.1170299585235215,1.0906784773076814
0045-03.12.25-МС0012509-2_chN0,0045-03.12.25-МС0012509-2_chN1,0.418739398033916,0.4330840028720483,0.461017534511212
0045-03.12.25-МС0012509-2_chN0,0045-03.12.25-МС0012509-2_chN1,0.418739398033916,0.4330840028720483,0.461017534511212
01_ДВ_1_1канал,02_ДВ_2_2канал,0.0016113735819326433,0.06487167046241861,0.0031813725481048593
01_ДВ_1_1канал,02_ДВ_2_2канал,0.5060241842352257,0.7049569548991904,0.5448830136207964
20251218Сер1__01_ДВ_1_1канал,20251218Сер1__02_ДВ_2_2канал,0.5060241842352257,0.7049569548991904,0.5448830136207964
20251218Сер2__01_ДВ_1_1канал,20251218Сер2__02_ДВ_2_2 канал,0.5837506877086512,0.2389052700258257,0.5854211532817486
20251218Сер2__01_ДВ_1_1канал,20251218Сер2__02_ДВ_2_2 канал,0.5837506877086512,0.2389052700258257,0.5854211532817486
0037_chN0,0037_chN1,0.3146311111247131,0.9467490401945243,0.9369482997443973
0037_chN0,0037_chN1,0.3146311111247131,0.9467490401945243,0.9369482997443973
20251218Сер2__01_ДВ_1_1канал,20251218Сер2__02_ДВ_2_2 канал,0.04607473374215113,0.04678429609133941,0.046120774914647424
