Time_s,Signal,Energy
1.23,437.0,190969.0
1.2301041666666668,455.0,207025.0
1.2302083333333333,457.0,208849.0
1.2303125,437.0,190969.0
1.2304166666666667,457.0,208849.0
1.2305208333333333,463.0,214369.0
1.230625,449.0,201601.0
1.2307291666666667,443.0,196249.0
1.2308333333333332,447.0,199809.0
1.2309375,417.0,173889.0
1.2310416666666666,441.0,194481.0
1.2311458333333334,459.0,210681.0
1.23125,445.0,198025.0
1.2313541666666667,427.0,182329.0
1.2314583333333333,439.0,192721.0
1.2315625,445.0,198025.0
1.2316666666666667,429.0,184041.0
1.2317708333333333,445.0,198025.0
1.231875,443.0,196249.0
1.2319791666666666,435.0,189225.0
1.2320833333333334,445.0,198025.0
1.2321875,431.0,185761.0
1.2322916666666666,447.0,199809.0
1.2323958333333334,453.0,205209.0
1.2325,459.0,210681.0
1.2326041666666667,457.0,208849.0
1.2327083333333333,455.0,207025.0
1.2328125,447.0,199809.0
1.2329166666666667,457.0,208849.0
1.2330208333333332,447.0,199809.0
1.233125,459.0,210681.0
1.2332291666666666,455.0,207025.0
1.2333333333333334,469.0,219961.0
1.2334375,463.0,214369.0
1.2335416666666668,459.0,210681.0
1.2336458333333333,447.0,199809.0
1.23375,445.0,198025.0
1.2338541666666667,455.0,207025.0
1.2339583333333333,457.0,208849.0
1.2340625,455.0,207025.0
1.2341666666666666,433.0,187489.0
1.2342708333333334,449.0,201601.0
1.234375,445.0,198025.0
1.2344791666666666,441.0,194481.0
1.2345833333333334,455.0,207025.0
1.2346875,441.0,194481.0
1.2347916666666667,443.0,196249.0
1.2348958333333333,445.0,198025.0
1.235,443.0,196249.0
1.2351041666666667,457.0,208849.0
1.2352083333333332,437.0,190969.0
1.2353125,437.0,190969.0
1.2354166666666666,443.0,196249.0
1.2355208333333334,447.0,199809.0
1.235625,437.0,190969.0
1.2357291666666668,431.0,185761.0
1.2358333333333333,445.0,198025.0
1.2359375,441.0,194481.0
1.2360416666666667,437.0,190969.0
1.2361458333333333,463.0,214369.0
1.23625,459.0,210681.0
1.2363541666666666,461.0,212521.0
1.2364583333333334,433.0,187489.0
1.2365625,439.0,192721.0
1.2366666666666666,459.0,210681.0
1.2367708333333334,441.0,194481.0
1.236875,441.0,194481.0
1.2369791666666667,443.0,196249.0
1.2370833333333333,451.0,203401.0
1.2371875,465.0,216225.0
1.2372916666666667,463.0,214369.0
1.2373958333333333,445.0,198025.0
1.2375,449.0,201601.0
1.2376041666666666,457.0,208849.0
1.2377083333333334,455.0,207025.0
1.2378125,449.0,201601.0
1.2379166666666668,441.0,194481.0
1.2380208333333333,451.0,203401.0
1.238125,449.0,201601.0
1.2382291666666667,457.0,208849.0
1.2383333333333333,443.0,196249.0
1.2384375,459.0,210681.0
1.2385416666666667,455.0,207025.0
1.2386458333333332,463.0,214369.0
1.23875,453.0,205209.0
1.2388541666666666,455.0,207025.0
1.2389583333333334,449.0,201601.0
1.2390625,455.0,207025.0
1.2391666666666667,465.0,216225.0
1.2392708333333333,471.0,221841.0
1.239375,451.0,203401.0
1.2394791666666667,447.0,199809.0
1.2395833333333333,441.0,194481.0
1.2396875,453.0,205209.0
1.2397916666666666,441.0,194481.0
1.2398958333333334,449.0,201601.0
1.24,449.0,201601.0
1.2401041666666666,451.0,203401.0
1.2402083333333334,459.0,210681.0
1.2403125,461.0,212521.0
1.2404166666666667,451.0,203401.0
1.2405208333333333,441.0,194481.0
1.240625,453.0,205209.0
1.2407291666666667,449.0,201601.0
1.2408333333333332,461.0,212521.0
1.2409375,443.0,196249.0
1.2410416666666666,439.0,192721.0
1.2411458333333334,445.0,198025.0
1.24125,455.0,207025.0
1.2413541666666668,453.0,205209.0
1.2414583333333333,459.0,210681.0
1.2415625,447.0,199809.0
