DataID,FileName,freq.discr,tmax,SumEnergy
1,D:\MyFilesCur\MyPrgs\Python\Wav\assets\051_1_M.wav,9600,129.59989583333333,368649570000.0
2,D:\MyFilesCur\MyPrgs\Python\Wav\assets\051-2.wav,9600,129.59989583333333,460536450000.0
3,D:\MyFilesCur\MyPrgs\Python\Wav\assets\052-1.wav,9600,135.89989583333335,867329050000.0
4,D:\MyFilesCur\MyPrgs\Python\Wav\assets\052-2.wav,9600,135.89989583333335,333926700000.0
