Time_s,Signal,Energy
1.6976041666666666,1991.0,3964081.0
1.6977083333333334,1837.0,3374569.0
1.6978125,1791.0,3207681.0
1.6979166666666667,1765.0,3115225.0
1.6980208333333333,1755.0,3080025.0
1.698125,1721.0,2961841.0
1.6982291666666667,1665.0,2772225.0
1.6983333333333333,1595.0,2544025.0
1.6984375,1427.0,2036329.0
1.6985416666666666,1265.0,1600225.0
1.6986458333333334,1105.0,1221025.0
1.69875,981.0,962361.0
1.6988541666666668,927.0,859329.0
1.6989583333333333,1007.0,1014049.0
1.6990625,1205.0,1452025.0
1.6991666666666667,1435.0,2059225.0
1.6992708333333333,1635.0,2673225.0
1.699375,1831.0,3352561.0
1.6994791666666667,1937.0,3751969.0
1.6995833333333332,1947.0,3790809.0
1.6996875,1875.0,3515625.0
1.6997916666666666,1729.0,2989441.0
1.6998958333333334,1571.0,2468041.0
1.7,1423.0,2024929.0
1.7001041666666667,1325.0,1755625.0
1.7002083333333333,1319.0,1739761.0
1.7003125,1401.0,1962801.0
1.7004166666666667,1537.0,2362369.0
1.7005208333333333,1681.0,2825761.0
1.700625,1823.0,3323329.0
1.7007291666666666,1875.0,3515625.0
1.7008333333333334,1905.0,3629025.0
1.7009375,1883.0,3545689.0
1.7010416666666666,1787.0,3193369.0
1.7011458333333334,1655.0,2739025.0
1.70125,1477.0,2181529.0
1.7013541666666667,1333.0,1776889.0
1.7014583333333333,1185.0,1404225.0
1.7015625,1041.0,1083681.0
1.7016666666666667,929.0,863041.0
1.7017708333333332,847.0,717409.0
1.701875,809.0,654481.0
1.7019791666666666,785.0,616225.0
1.7020833333333334,823.0,677329.0
1.7021875,879.0,772641.0
1.7022916666666668,939.0,881721.0
1.7023958333333333,1063.0,1129969.0
1.7025,1129.0,1274641.0
1.7026041666666667,1149.0,1320201.0
1.7027083333333333,1173.0,1375929.0
1.7028125,1081.0,1168561.0
1.7029166666666666,995.0,990025.0
1.7030208333333334,885.0,783225.0
1.703125,821.0,674041.0
1.7032291666666666,815.0,664225.0
1.7033333333333334,927.0,859329.0
1.7034375,1083.0,1172889.0
1.7035416666666667,1305.0,1703025.0
1.7036458333333333,1513.0,2289169.0
1.70375,1705.0,2907025.0
1.7038541666666667,1857.0,3448449.0
1.7039583333333332,1909.0,3644281.0
1.7040625,1921.0,3690241.0
1.7041666666666666,1791.0,3207681.0
1.7042708333333334,1655.0,2739025.0
1.704375,1505.0,2265025.0
1.7044791666666668,1329.0,1766241.0
1.7045833333333333,1179.0,1390041.0
1.7046875,1097.0,1203409.0
1.7047916666666667,1011.0,1022121.0
1.7048958333333333,1011.0,1022121.0
1.705,1005.0,1010025.0
1.7051041666666666,1037.0,1075369.0
1.7052083333333334,1121.0,1256641.0
1.7053125,1225.0,1500625.0
1.7054166666666666,1367.0,1868689.0
1.7055208333333334,1545.0,2387025.0
1.705625,1741.0,3031081.0
1.7057291666666667,1951.0,3806401.0
1.7058333333333333,2161.0,4669921.0
1.7059375,2285.0,5221225.0
1.7060416666666667,2317.0,5368489.0
1.7061458333333333,2275.0,5175625.0
1.70625,2193.0,4809249.0
1.7063541666666666,2013.0,4052169.0
1.7064583333333334,1789.0,3200521.0
1.7065625,1581.0,2499561.0
1.7066666666666668,1409.0,1985281.0
1.7067708333333333,1309.0,1713481.0
1.706875,1229.0,1510441.0
1.7069791666666667,1179.0,1390041.0
1.7070833333333333,1207.0,1456849.0
1.7071875,1221.0,1490841.0
1.7072916666666667,1255.0,1575025.0
1.7073958333333332,1305.0,1703025.0
1.7075,1337.0,1787569.0
1.7076041666666666,1371.0,1879641.0
1.7077083333333334,1473.0,2169729.0
1.7078125,1605.0,2576025.0
1.7079166666666667,1793.0,3214849.0
1.7080208333333333,2003.0,4012009.0
1.708125,2215.0,4906225.0
1.7082291666666667,2379.0,5659641.0
1.7083333333333333,2455.0,6027025.0
1.7084375,2443.0,5968249.0
1.7085416666666666,2291.0,5248681.0
1.7086458333333334,2061.0,4247721.0
1.70875,1783.0,3179089.0
1.7088541666666666,1453.0,2111209.0
1.7089583333333334,1143.0,1306449.0
1.7090625,873.0,762129.0
1.7091666666666667,693.0,480249.0
1.7092708333333333,599.0,358801.0
1.709375,575.0,330625.0
1.7094791666666667,599.0,358801.0
1.7095833333333332,639.0,408321.0
1.7096875,695.0,483025.0
1.7097916666666666,697.0,485809.0
1.7098958333333334,685.0,469225.0
1.71,649.0,421201.0
1.7101041666666668,637.0,405769.0
1.7102083333333333,627.0,393129.0
1.7103125,625.0,390625.0
1.7104166666666667,663.0,439569.0
1.7105208333333333,721.0,519841.0
1.710625,777.0,603729.0
1.7107291666666666,823.0,677329.0
1.7108333333333334,853.0,727609.0
1.7109375,891.0,793881.0
1.7110416666666666,885.0,783225.0
1.7111458333333334,883.0,779689.0
1.71125,881.0,776161.0
1.7113541666666667,889.0,790321.0
1.7114583333333333,919.0,844561.0
1.7115625,937.0,877969.0
1.7116666666666667,955.0,912025.0
1.7117708333333332,959.0,919681.0
1.711875,925.0,855625.0
1.7119791666666666,839.0,703921.0
1.7120833333333334,751.0,564001.0
1.7121875,669.0,447561.0
1.7122916666666668,575.0,330625.0
1.7123958333333333,537.0,288369.0
1.7125,521.0,271441.0
1.7126041666666667,525.0,275625.0
1.7127083333333333,557.0,310249.0
1.7128125,591.0,349281.0
1.7129166666666666,625.0,390625.0
1.7130208333333334,683.0,466489.0
1.713125,689.0,474721.0
1.7132291666666666,681.0,463761.0
1.7133333333333334,709.0,502681.0
1.7134375,679.0,461041.0
1.7135416666666667,679.0,461041.0
1.7136458333333333,703.0,494209.0
1.71375,783.0,613089.0
1.7138541666666667,859.0,737881.0
1.7139583333333333,991.0,982081.0
1.7140625,1139.0,1297321.0
1.7141666666666666,1249.0,1560001.0
1.7142708333333334,1343.0,1803649.0
1.714375,1375.0,1890625.0
1.7144791666666668,1365.0,1863225.0
1.7145833333333333,1331.0,1771561.0
1.7146875,1245.0,1550025.0
1.7147916666666667,1133.0,1283689.0
1.7148958333333333,1007.0,1014049.0
1.715,875.0,765625.0
1.7151041666666667,731.0,534361.0
1.7152083333333332,603.0,363609.0
1.7153125,507.0,257049.0
1.7154166666666666,439.0,192721.0
1.7155208333333334,423.0,178929.0
1.715625,427.0,182329.0
1.7157291666666667,505.0,255025.0
1.7158333333333333,631.0,398161.0
1.7159375,791.0,625681.0
1.7160416666666667,951.0,904401.0
1.7161458333333333,1163.0,1352569.0
1.71625,1335.0,1782225.0
1.7163541666666666,1505.0,2265025.0
1.7164583333333334,1617.0,2614689.0
1.7165625,1661.0,2758921.0
1.7166666666666666,1681.0,2825761.0
1.7167708333333334,1669.0,2785561.0
1.716875,1639.0,2686321.0
1.7169791666666667,1597.0,2550409.0
1.7170833333333333,1533.0,2350089.0
1.7171875,1493.0,2229049.0
1.7172916666666667,1469.0,2157961.0
1.7173958333333332,1427.0,2036329.0
1.7175,1421.0,2019241.0
1.7176041666666666,1387.0,1923769.0
1.7177083333333334,1361.0,1852321.0
1.7178125,1359.0,1846881.0
1.7179166666666668,1383.0,1912689.0
1.7180208333333333,1425.0,2030625.0
1.718125,1477.0,2181529.0
1.7182291666666667,1571.0,2468041.0
1.7183333333333333,1671.0,2792241.0
1.7184375,1793.0,3214849.0
